group,seawater,freshwater,area
ccyw,0,0,153.389
ccyw,0,0,176.165
ccyw,0,0,167.196
ccyw,0,0,161.149
ccyw,0,0,182.212
ccyw,0,0,158.529
ccyw,0,0,137.667
ccyw,0,0,160.569
ccyw,0,0,167.196
ccyw,0,0,155.152
ccyw,0,0,146.334
ccyw,0,0,117.511
ccyw,0,0,161.174
ccyw,0,0,77.954
ccyw,0,0,136.558
ccyw,0,0,165.382
ccyw,0,0,133.006
ccyw,0,0,114.242
ccyw,0,0,94.991
ccyw,0,0,103.286
ccyw,0,1,147.313
ccyw,0,1,168.577
ccyw,0,1,158.15
ccyw,0,1,132.751
ccyw,0,1,142.151
ccyw,0,1,173.74
ccyw,0,1,163.749
ccyw,0,1,197.881
ccyw,0,1,141.868
ccyw,0,1,165.239
ccyw,0,1,152.988
ccyw,0,1,181.932
ccyw,0,1,198.677
ccyw,0,1,203.505
ccyw,0,1,207.974
ccyw,0,1,149.264
ccyw,0,1,185.81
ccyw,0,1,197.65
ccyw,0,1,195.749
ccyw,0,1,192
ccyw,0,2,189.418
ccyw,0,2,155.959
ccyw,0,2,172.322
ccyw,0,2,166.693
ccyw,0,2,213.635
ccyw,0,2,195.727
ccyw,0,2,183.527
ccyw,0,2,155.618
ccyw,0,2,130.014
ccyw,0,2,144.622
ccyw,0,2,161.221
ccyw,0,2,152.163
ccyw,0,2,200.335
ccyw,0,2,182.794
ccyw,0,2,134.386
ccyw,0,2,177.191
ccyw,0,2,189.339
ccyw,0,2,145.146
ccyw,0,2,145.146
ccyw,0,2,129.542
ccyw,0,3,341.842
ccyw,0,3,245.942
ccyw,0,3,481.019
ccyw,0,3,287.831
ccyw,0,3,295.947
ccyw,0,3,326.003
ccyw,0,3,273.327
ccyw,0,3,294.56
ccyw,0,3,318.358
ccyw,0,3,207.718
ccyw,0,3,246.204
ccyw,0,3,177.636
ccyw,0,3,251.649
ccyw,0,3,177.715
ccyw,0,3,274.27
ccyw,0,3,295.109
ccyw,0,3,303.801
ccyw,0,3,374.804
ccyw,0,3,253.665
ccyw,1,3,461.671
ccyw,1,0,113.541
ccyw,1,0,113.284
ccyw,1,0,126.253
ccyw,1,0,112.822
ccyw,1,0,92.096
ccyw,1,0,98.902
ccyw,1,0,137.99
ccyw,1,0,117.008
ccyw,1,0,183.789
ccyw,1,0,115.012
ccyw,1,0,74.039
ccyw,1,0,115.012
ccyw,1,0,101.948
ccyw,1,0,146.874
ccyw,1,0,114.358
ccyw,1,0,155.959
ccyw,1,0,135.328
ccyw,1,0,155.618
ccyw,1,0,101.32
ccyw,1,0,140.015
ccyw,2,0,106.268
ccyw,2,0,135.093
ccyw,2,0,148.183
ccyw,2,0,135.328
ccyw,2,0,129.542
ccyw,2,0,144.622
ccyw,2,0,120.013
ccyw,2,0,197.822
ccyw,2,0,239.606
ccyw,2,0,74.039
ccyw,2,0,77.495
ccyw,2,0,160.855
ccyw,2,0,120.013
ccyw,2,0,163.682
ccyw,2,0,207.456
ccyw,2,0,223.715
ccyw,2,0,131.977
ccyw,2,0,120.013
ccyw,2,0,128.024
ccyw,2,0,155.618
ccyw,3,0,104.671
ccyw,3,0,120.379
ccyw,3,0,115.012
ccyw,3,0,220.494
ccyw,3,0,172.322
ccyw,3,0,97.104
ccyw,3,0,85.716
ccyw,3,0,102.21
ccyw,3,0,149.283
ccyw,3,0,124.411
ccyw,3,0,120.379
ccyw,3,0,134.098
ccyw,3,0,111.321
ccyw,3,0,136.349
ccyw,3,0,112.263
ccyw,3,0,135.093
ccyw,3,0,114.148
ccyw,3,0,119.28
ccyw,3,0,112.682
ccyw,3,0,115.745
dhyj,0,0,139.229
dhyj,0,0,146.298
dhyj,0,0,155.357
dhyj,0,0,173.893
dhyj,0,0,159.441
dhyj,0,0,142.319
dhyj,0,0,154.885
dhyj,0,0,167.531
dhyj,0,0,179.391
dhyj,0,0,136.978
dhyj,0,0,161.404
dhyj,0,0,156.299
dhyj,0,0,168.08
dhyj,0,0,150.487
dhyj,0,0,155.985
dhyj,0,0,155.592
dhyj,0,0,171.693
dhyj,0,0,161.09
dhyj,0,0,141.376
dhyj,0,0,173.421
dhyj,0,1,169.965
dhyj,0,1,170.437
dhyj,0,1,162.425
dhyj,0,1,175.385
dhyj,0,1,168.944
dhyj,0,1,152.372
dhyj,0,1,172.793
dhyj,0,1,156.378
dhyj,0,1,176.563
dhyj,0,1,158.812
dhyj,0,1,147.817
dhyj,0,1,167.138
dhyj,0,1,190.386
dhyj,0,1,151.744
dhyj,0,1,178.527
dhyj,0,1,153.943
dhyj,0,1,141.376
dhyj,0,1,187.952
dhyj,0,1,165.724
dhyj,0,1,150.566
dhyj,0,2,136.349
dhyj,0,2,168.709
dhyj,0,2,157.713
dhyj,0,2,155.592
dhyj,0,2,171.693
dhyj,0,2,133.365
dhyj,0,2,142.319
dhyj,0,2,190.229
dhyj,0,2,162.74
dhyj,0,2,167.138
dhyj,0,2,151.979
dhyj,0,2,144.361
dhyj,0,2,186.616
dhyj,0,2,147.345
dhyj,0,2,169.651
dhyj,0,2,145.932
dhyj,0,2,186.145
dhyj,0,2,115.457
dhyj,0,2,186.145
dhyj,0,2,161.169
dhyj,0,3,207.43
dhyj,0,3,177.427
dhyj,0,3,168.08
dhyj,0,3,167.766
dhyj,0,3,153.943
dhyj,0,3,180.49
dhyj,0,3,162.74
dhyj,0,3,203.817
dhyj,0,3,182.218
dhyj,0,3,150.801
dhyj,0,3,161.797
dhyj,0,3,175.542
dhyj,0,3,181.747
dhyj,0,3,205.309
dhyj,0,3,172.322
dhyj,0,3,144.989
dhyj,0,3,172.793
dhyj,0,3,160.54
dhyj,0,3,174.835
dhyj,0,3,145.774
dhyj,1,0,161.169
dhyj,1,0,142.947
dhyj,1,0,156.456
dhyj,1,0,140.669
dhyj,1,0,120.955
dhyj,1,0,190.072
dhyj,1,0,163.289
dhyj,1,0,180.804
dhyj,1,0,186.616
dhyj,1,0,177.191
dhyj,1,0,162.74
dhyj,1,0,165.567
dhyj,1,0,173.107
dhyj,1,0,171.144
dhyj,1,0,162.347
dhyj,1,0,134.936
dhyj,1,0,164.939
dhyj,1,0,153.314
dhyj,1,0,161.797
dhyj,1,0,168.709
dhyj,2,0,180.961
dhyj,2,0,201.697
dhyj,2,0,139.805
dhyj,2,0,158.655
dhyj,2,0,165.096
dhyj,2,0,152.372
dhyj,2,0,163.525
dhyj,2,0,165.41
dhyj,2,0,144.518
dhyj,2,0,158.341
dhyj,2,0,168.944
dhyj,2,0,147.345
dhyj,2,0,157.085
dhyj,2,0,197.298
dhyj,2,0,210.415
dhyj,2,0,194.156
dhyj,2,0,173.735
dhyj,2,0,206.409
dhyj,2,0,191.015
dhyj,2,0,180.49
dhyj,3,0,186.224
dhyj,3,0,195.099
dhyj,3,0,134.621
dhyj,3,0,195.492
dhyj,3,0,118.756
dhyj,3,0,128.181
dhyj,3,0,116.871
dhyj,3,0,163.682
dhyj,3,0,180.647
dhyj,3,0,167.138
dhyj,3,0,148.445
dhyj,3,0,172.479
dhyj,3,0,181.904
dhyj,3,0,169.651
dhyj,3,0,146.089
dhyj,3,0,181.904
dhyj,3,0,165.41
dhyj,3,0,155.042
dhyj,3,0,189.13
dhyj,3,0,181.825
zlgt,0,0,40.73
zlgt,0,0,41.44
zlgt,0,0,31.651
zlgt,0,0,48.896
zlgt,0,0,41.846
zlgt,0,0,41.44
zlgt,0,0,30.18
zlgt,0,0,40.273
zlgt,0,0,34.719
zlgt,0,0,28.709
zlgt,0,0,68.729
zlgt,0,0,89.271
zlgt,0,0,54.932
zlgt,0,0,30.484
zlgt,0,0,31.093
zlgt,0,0,42.48
zlgt,0,0,41.389
zlgt,0,0,35.201
zlgt,0,0,43.824
zlgt,0,0,25.868
zlgt,0,1,54.324
zlgt,0,1,32.564
zlgt,0,1,20.834
zlgt,0,1,28.1
zlgt,0,1,37.89
zlgt,0,1,43.266
zlgt,0,1,40.933
zlgt,0,1,38.245
zlgt,0,1,33.274
zlgt,0,1,22.774
zlgt,0,1,29.064
zlgt,0,1,60.892
zlgt,0,1,41.389
zlgt,0,1,26.376
zlgt,0,1,41.44
zlgt,0,1,22.926
zlgt,0,1,33.527
zlgt,0,1,45.904
zlgt,0,1,21.1
zlgt,0,1,29.064
zlgt,0,2,46.157
zlgt,0,2,37.89
zlgt,0,2,38.803
zlgt,0,2,36.368
zlgt,0,2,33.274
zlgt,0,2,33.375
zlgt,0,2,24.905
zlgt,0,2,24.397
zlgt,0,2,47.679
zlgt,0,2,28.709
zlgt,0,2,41.44
zlgt,0,2,41.44
zlgt,0,2,24.6
zlgt,0,2,24.955
zlgt,0,2,54.577
zlgt,0,2,47.78
zlgt,0,2,50.976
zlgt,0,2,50.317
zlgt,0,2,44.686
zlgt,0,2,45.599
zlgt,0,3,14.05
zlgt,0,3,26.832
zlgt,0,3,13.441
zlgt,0,3,25.868
zlgt,0,3,24.271
zlgt,0,3,18.666
zlgt,0,3,22.724
zlgt,0,3,19.985
zlgt,0,3,22.736
zlgt,0,3,38.257
zlgt,0,3,40.324
zlgt,0,3,14.722
zlgt,0,3,27.035
zlgt,0,3,37.534
zlgt,0,3,43.304
zlgt,0,3,26.883
zlgt,0,3,33.122
zlgt,0,3,23.865
zlgt,0,3,32.614
zlgt,0,3,30.129
zlgt,1,0,22.419
zlgt,1,0,29.064
zlgt,1,0,22.774
zlgt,1,0,28.1
zlgt,1,0,61.273
zlgt,1,0,24.955
zlgt,1,0,33.527
zlgt,1,0,23.992
zlgt,1,0,48.896
zlgt,1,0,53.563
zlgt,1,0,48.896
zlgt,1,0,48.896
zlgt,1,0,40.324
zlgt,1,0,31.093
zlgt,1,0,20.796
zlgt,1,0,40.73
zlgt,1,0,31.651
zlgt,1,0,34.491
zlgt,1,0,36.875
zlgt,1,0,35.861
zlgt,2,0,48.896
zlgt,2,0,31.904
zlgt,2,0,28.76
zlgt,2,0,17.195
zlgt,2,0,26.376
zlgt,2,0,36.875
zlgt,2,0,39.31
zlgt,2,0,37.89
zlgt,2,0,33.527
zlgt,2,0,40.73
zlgt,2,0,45.599
zlgt,2,0,22.774
zlgt,2,0,35.861
zlgt,2,0,26.832
zlgt,2,0,28.1
zlgt,2,0,34.542
zlgt,2,0,24.955
zlgt,2,0,37.89
zlgt,2,0,41.44
zlgt,2,0,35.861
zlgt,3,0,24.448
zlgt,3,0,30.433
zlgt,3,0,35.506
zlgt,3,0,25.868
zlgt,3,0,28.709
zlgt,3,0,25.729
zlgt,3,0,40.35
zlgt,3,0,32.259
zlgt,3,0,20.923
zlgt,3,0,51.382
zlgt,3,0,32.018
zlgt,3,0,16.18
zlgt,3,0,33.122
zlgt,3,0,23.738
zlgt,3,0,55.706
zlgt,3,0,31.549
zlgt,3,0,29.229
zlgt,3,0,31.004
zlgt,3,0,40.35
zlgt,3,0,30.433
shrimp,3,0,106557
shrimp,3,0,104784
shrimp,3,0,108666
shrimp,3,0,105870
shrimp,3,0,91704
shrimp,3,0,104976
shrimp,3,0,95094
shrimp,3,0,99309
shrimp,3,0,102879
shrimp,3,0,74682
shrimp,3,0,106584
shrimp,3,0,104922
shrimp,3,0,98940
shrimp,3,0,111480
shrimp,3,0,105693
shrimp,3,0,107823
shrimp,3,0,103962
shrimp,3,0,57240
shrimp,3,0,117651
shrimp,3,0,102447
shrimp,0,3,81300
shrimp,0,3,116004
shrimp,0,3,79770
shrimp,0,3,68328
shrimp,0,3,98496
shrimp,0,3,108582
shrimp,0,3,105915
shrimp,0,3,87624
shrimp,0,3,70251
shrimp,0,3,106362
shrimp,0,3,92874
shrimp,0,3,103923
shrimp,0,3,103203
shrimp,0,3,98520
shrimp,0,3,111360
shrimp,0,3,107064
shrimp,0,3,108960
shrimp,0,3,75528
shrimp,0,3,102372
shrimp,0,3,108531
shrimp,2,0,138360
shrimp,2,0,126594
shrimp,2,0,112524
shrimp,2,0,94782
shrimp,2,0,103470
shrimp,2,0,111258
shrimp,2,0,72972
shrimp,2,0,107364
shrimp,2,0,103683
shrimp,2,0,112842
shrimp,2,0,78011
shrimp,2,0,85386
shrimp,2,0,92142
shrimp,2,0,85587
shrimp,2,0,83355
shrimp,2,0,99161
shrimp,2,0,99684
shrimp,2,0,96384
shrimp,2,0,127924
shrimp,2,0,98491
shrimp,2,0,121716
shrimp,0,2,100509
shrimp,0,2,102984
shrimp,0,2,152826
shrimp,0,2,129204
shrimp,0,2,96216
shrimp,0,2,94929
shrimp,0,2,74496
shrimp,0,2,97665
shrimp,0,2,71744
shrimp,0,2,99920
shrimp,0,2,116730
shrimp,0,2,97728
shrimp,0,2,109485
shrimp,0,2,113658
shrimp,0,2,107064
shrimp,0,2,109803
shrimp,0,2,126489
shrimp,0,2,123039
shrimp,0,2,115857
shrimp,0,2,140481
shrimp,1,0,90048
shrimp,1,0,81558
shrimp,1,0,70866
shrimp,1,0,92964
shrimp,1,0,89072
shrimp,1,0,99117
shrimp,1,0,67281
shrimp,1,0,118701
shrimp,1,0,96909
shrimp,1,0,95328
shrimp,1,0,88947
shrimp,1,0,72930
shrimp,1,0,42600
shrimp,1,0,87630
shrimp,1,0,84501
shrimp,1,0,92808
shrimp,1,0,107622
shrimp,1,0,120822
shrimp,1,0,121044
shrimp,1,0,192720
shrimp,1,0,97740
shrimp,0,1,122922
shrimp,0,1,105762
shrimp,0,1,103812
shrimp,0,1,99171
shrimp,0,1,74886
shrimp,0,1,90988
shrimp,0,1,113460
shrimp,0,1,113949
shrimp,0,1,105141
shrimp,0,1,123548
shrimp,0,1,101046
shrimp,0,1,73696
shrimp,0,1,51996
shrimp,0,1,79821
shrimp,0,1,89241
shrimp,0,1,148353
shrimp,0,1,114975
shrimp,0,1,115776
shrimp,0,1,105012
shrimp,0,1,110514
shrimp,0,1,89520
shrimp,0,1,92472
shrimp,0,1,87192
shrimp,0,0,141134.161
shrimp,0,0,91501.835
shrimp,0,0,135885.853
shrimp,0,0,188083.856
shrimp,0,0,136357.324
shrimp,0,0,110349.692
shrimp,0,0,126079.996
shrimp,0,0,130136.836
shrimp,0,0,131262
shrimp,0,0,143484
shrimp,0,0,120933
shrimp,0,0,130224
shrimp,0,0,132999
shrimp,0,0,128286
shrimp,0,0,126144
shrimp,0,0,125973
shrimp,0,0,137049
shrimp,0,0,127488
shrimp,0,0,142560
shrimp,0,0,121086
hykd,3,0,773.847
hykd,3,0,1109.031
hykd,3,0,948.54
hykd,3,0,936.164
hykd,3,0,469.096
hykd,3,0,579.066
hykd,3,0,763.296
hykd,3,0,1355.55
hykd,3,0,534.023
hykd,3,0,1128.509
hykd,3,0,1050.191
hykd,3,0,1253.291
hykd,3,0,960.511
hykd,3,0,1025.438
hykd,3,0,1172.741
hykd,3,0,814.832
hykd,3,0,1146.364
hykd,3,0,770.195
hykd,3,0,1181.668
hykd,3,0,1154.48
hykd,3,0,1171.929
hykd,3,0,998.859
hykd,1,0,1557.014
hykd,1,0,795.206
hykd,1,0,1087.754
hykd,1,0,1521.502
hykd,1,0,1128.338
hykd,1,0,1330.416
hykd,1,0,1130.029
hykd,1,0,784.214
hykd,1,0,893.708
hykd,1,0,1550.673
hykd,1,0,945.285
hykd,1,0,996.957
hykd,1,0,902.721
hykd,1,0,1023.657
hykd,1,0,885.681
hykd,1,0,1700.723
hykd,1,0,1098.425
hykd,1,0,1196.214
hykd,1,0,709.446
hykd,1,0,1208.174
hykd,0,3,2198.073
hykd,0,3,1516.531
hykd,0,3,1703.448
hykd,0,3,1646.146
hykd,0,3,1825.051
hykd,0,3,1737.525
hykd,0,3,1912.576
hykd,0,3,1702.637
hykd,0,3,1866.531
hykd,0,3,1375.152
hykd,0,3,2063.185
hykd,0,3,2053.144
hykd,0,3,1558.316
hykd,0,3,1556.491
hykd,0,3,1600.609
hykd,0,3,2167.951
hykd,0,3,1779.31
hykd,0,3,1908.316
hykd,0,3,2250.203
hykd,0,3,1796.045
hykd,0,2,1308.215
hykd,0,2,1289.655
hykd,0,2,1520.943
hykd,0,2,1560.497
hykd,0,2,931.085
hykd,0,2,1195.132
hykd,0,2,1351.42
hykd,0,2,1255.325
hykd,0,2,811.815
hykd,0,2,934.077
hykd,0,2,1252.738
hykd,0,2,1014.604
hykd,0,2,1344.701
hykd,0,2,1314.757
hykd,0,2,891.43
hykd,0,2,1343.966
hykd,0,2,958.215
hykd,0,2,1253.245
hykd,0,2,834.28
hykd,0,2,1107.911
hykd,0,2,1154.564
hykd,0,2,1100.913
hykd,0,2,1676.623
hykd,0,2,916.836
hykd,0,2,1023.732
hykd,2,0,823.623
hykd,2,0,751.975
hykd,2,0,1074.277
hykd,2,0,1104.849
hykd,2,0,537.865
hykd,2,0,756.441
hykd,2,0,981.953
hykd,2,0,952.913
hykd,2,0,684.661
hykd,2,0,818.444
hykd,2,0,947.721
hykd,2,0,862.254
hykd,2,0,1078.425
hykd,2,0,1332.831
hykd,2,0,602.246
hykd,2,0,726.41
hykd,2,0,835.487
hykd,2,0,705.589
hykd,2,0,962.241
hykd,2,0,635.83
hykd,0,0,1358.728
hykd,0,0,1515.169
hykd,0,0,1257.219
hykd,0,0,1011.184
hykd,0,0,2150.231
hykd,0,0,1242.831
hykd,0,0,961.048
hykd,0,0,1333.907
hykd,0,0,1091.976
hykd,0,0,1206.341
hykd,0,0,1331.039
hykd,0,0,1231.557
hykd,0,0,1090.938
hykd,0,0,1258.208
hykd,0,0,1380.978
hykd,0,0,793.086
hykd,0,0,742.603
hykd,0,0,696.669
hykd,0,0,991.555
hykd,0,0,1258.9
hykd,0,1,993.73
hykd,0,1,1134.647
hykd,0,1,1164.214
hykd,0,1,875.46
hykd,0,1,1106.513
hykd,0,1,769.847
hykd,0,1,1209.406
hykd,0,1,1133.905
hykd,0,1,856.424
hykd,0,1,1321.744
hykd,0,1,784.235
hykd,0,1,758.673
hykd,0,1,790.96
hykd,0,1,1218.257
hykd,0,1,904.582
hykd,0,1,1003.965
hykd,0,1,943.643
hykd,0,1,823.148
hykd,0,1,1148.639
hykd,0,1,1155.413
